file	speech	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	gender	coder	ID					
B-15_06_pass1__983_28.wav	CDS	196.4087982	160.1848696	277.466837	20.19294601	117.2819675	0	0	0	0	0	0	0	0	1	6	FEMALE	giselle	B15					
B-15_06_pass1__983_29.wav	CDS	146.9542892	99.37472131	227.4018402	29.6635408	128.0271189	0	0	0	1	0	1	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_3.wav	ADS	159.9690035	102.2665764	290.1979485	41.50433366	187.9313721	0	0	0	1	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_31.wav	CDS	133.9247798	90.7793398	315.7885568	40.57873349	225.009217	0	0	0	1	0	0	0	0	0	6	MALE	giselle	B15					
B-15_06_pass1__983_33.wav	CDS	190.882459	145.17579	271.2277998	21.1440152	126.0520098	0	0	0	0	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_4.wav	ADS	211.7686409	155.780182	361.1646883	34.9623969	205.3845063	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_7.wav	ADS	195.0271365	169.2153182	242.1502821	14.02208476	72.93496387	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_8.wav	ADS	181.7357974	146.6718717	222.3756659	17.05026213	75.70379422	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B15					
B-15_06_pass1__983_9.wav	ADS	183.7478304	144.062147	261.4961781	17.63071887	117.4340311	0	0	0	1	0	0	0	0	0	6	FEMALE	giselle	B15					
B-16_16_pass1__458__1.wav	CDS	221.4607237	120.9048104	358.0437153	41.35620832	237.1389049	0	0	0	1	0	0	0	0	0	16	FEMALE	amy	B16					
B-16_16_pass1__458__11.wav	CDS	277.5486113	176.7887016	345.3185883	36.04395012	168.5298867	0	0	0	0	0	0	1	0	0	16	FEMALE	amy	B16					
B-16_16_pass1__458__13.wav	CDS	279.7290073	198.0167115	389.1546152	44.42799062	191.1379037	0	0	0	1	0	0	1	0	0	16	FEMALE	amy	B16					
B-16_16_pass1__458__3.wav	CDS	233.9249105	182.3350948	369.6947661	40.3120816	187.3596713	0	0	0	1	0	0	0	0	0	16	FEMALE	amy	B16					
B-16_16_pass1__458__9.wav	CDS	239.6267963	179.0567719	350.2804983	41.77794781	171.2237264	0	0	0	1	0	0	0	0	0	16	FEMALE	amy	B16					
B-17_16_pass1__41__15.wav	CDS	250.6343493	98.31618641	362.2138371	74.14004453	263.8976507	0	0	0	0	0	0	0	1	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__16.wav	CDS	279.6421163	131.3263143	484.4496228	84.54049063	353.1233085	1	0	0	0	0	0	0	1	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__19.wav	CDS	177.6314746	120.0308594	256.5978088	30.93190643	136.5669493	0	0	0	1	0	0	0	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__21.wav	CDS	189.747083	139.7394217	286.2086201	38.7310956	146.4691984	1	0	0	0	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__25.wav	CDS	155.6242714	120.3390076	263.7795058	30.89246476	143.4404982	0	0	0	1	0	0	0	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__28.wav	CDS	189.5648906	140.1106806	380.4830733	55.56288047	240.3723927	0	0	0	0	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__32.wav	CDS	187.6173332	133.020325	324.0967982	38.91592228	191.0764733	0	0	0	0	0	1	0	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__34.wav	CDS	195.2830542	104.6255489	346.7251106	57.40656003	242.0995617	0	0	0	1	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__38.wav	CDS	162.6270691	132.0461712	219.9992441	17.97486504	87.95307296	0	0	0	0	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__43.wav	CDS	232.4632823	120	402.1449973	63.33262346	282.1449973	0	0	0	1	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__45.wav	CDS	198.8352694	159.0044579	354.1435321	45.34206685	195.1390742	0	0	0	0	0	0	1	0	0	16	FEMALE	amy	B17					
B-17_16_pass1__41__50.wav	CDS	240.4132131	118.7897036	571.2022526	100.8048827	452.412549	0	0	0	1	0	1	0	0	0	16	FEMALE	amy	B17					
B-18_10_pass1__1429__25.wav	CDS	289.5968361	135.8705663	605.8313324	99.16046743	469.9607661	0	0	0	1	0	0	0	0	0	10	FEMALE	amy	B18					
B-18_10_pass1__1429__31.wav	CDS	304.2787008	238.1544613	386.8685633	52.06410109	148.7141019	1	0	0	0	0	0	0	0	0	10	FEMALE	amy	B18					
B-18_10_pass1__1429__8.wav	CDS	209.4380777	159.9848209	291.8401801	23.30443541	131.8553591	0	0	0	0	0	0	0	1	0	10	NA	amy	B18					
B-19_12_pass1__623__11.wav	ADS	141.282051	101.472203	180.0998811	23.58060693	78.6276781	0	0	0	0	0	0	1	0	0	12	MALE	amy	B19					
