"speech_register","seg_id","m","min_pit","max_pit","sd_pit","range_pit"
"IDS","B-01_06_pass1_535_21",263.290272994129,221.1824885013,322.987061562547,25.5633640270758,101.804573061246
"IDS","B-01_06_pass1_535_23",260.255003599281,179.090877385291,319.742857098898,47.7604194210494,140.651979713607
"IDS","B-01_06_pass1_535_30",234.55699173716,118.945846925837,279.678457279775,32.4531971231008,160.732610353938
"IDS","B-01_06_pass1_535_32",343.85915089192,121.195567035302,407.235155203031,42.868173172619,286.039588167729
"IDS","B-01_06_pass1_535_37",204.26549697443,163.847860016677,299.929303925285,27.2604245006445,136.081443908607
"IDS","B-01_06_pass1_535_44",241.292074480381,177.574595759568,328.224437429751,47.1192794113054,150.649841670183
"IDS","B-01_06_pass1_535_49",318.324256573907,156.157344353295,665.629100886962,143.000967377536,509.471756533667
"IDS","B-01_06_pass1_535_51",194.869883392706,119.187199367853,281.695718793696,32.807487651266,162.508519425843
"IDS","B-01_06_pass1_535_52",190.488595874986,160.138070441497,299.573525826681,23.9214206231873,139.435455385185
"IDS","B-01_06_pass1_535_56",223.238157187978,155.613704619011,391.22627995915,36.3442413965255,235.612575340139
"IDS","B-01_06_pass1_535_61",220.646494797983,178.002927383646,301.061900730146,30.4319944173431,123.0589733465
"IDS","B-01_06_pass1_535_63",260.331935861187,167.892906653638,591.455159685375,107.312888345482,423.562253031737
"IDS","B-01_06_pass1_535_65",271.925746855163,197.017882574673,401.268679761714,48.5640398546744,204.250797187041
"IDS","B-01_06_pass1_535_67",239.624649580563,177.850108601445,387.538416625127,54.9318898907234,209.688308023681
"IDS","B-01_06_pass1_535_68",197.423796092312,151.091498579611,243.918985064914,28.21163602425,92.8274864853027
"IDS","B-01_06_pass1_535_69",279.847205204741,196.976424854935,378.335129116882,60.0510137270836,181.358704261947
"IDS","B-01_06_pass1_535_70",254.468792843305,108.609337610193,556.611149070194,109.004211518624,448.001811460001
"IDS","B-01_06_pass1_535_74",251.208639724521,113.326015797336,319.047134472853,56.8050754361693,205.721118675517
"IDS","B-01_06_pass1_535_75",196.202128481132,149.564182602778,329.288974975447,42.4083438111031,179.724792372668
"IDS","B-01_06_pass1_535_76",260.582881632891,144.115745235342,331.105656082808,56.1478335146386,186.989910847466
"IDS","B-01_06_pass1_535_77",180.960060822524,104.658558788082,396.096232214309,56.6763650402899,291.437673426227
"IDS","B-01_06_pass1_535_78",218.922410769669,136.870991897679,420.118354439671,69.259075674358,283.247362541992
"IDS","B-01_06_pass1_535_80",196.238253152694,149.638552807688,319.884040120677,35.8285193565654,170.245487312988
"IDS","B-01_06_pass1_535_86",368.670115547857,254.02342538442,437.730729775128,62.7178038433836,183.707304390708
