file	register	m_pitch	min_pit	max_pit	sd_pit	range_pit	convo	comfort	sing	inform	read	imperative	question	vocalplay	noisy	age	adu_gender	coder	ID	chi_gender									
M-103-010723_pass1_736_51	IDS	266.510574	199.789999	280.690538	17.5080363	80.9005392	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_52	IDS	273.171958	243.506228	293.293407	9.10756721	49.7871781	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_53	IDS	333.072023	292.647565	341.50119	7.29075656	48.8536252	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_54	IDS	307.521683	159.262923	348.822378	39.2200428	189.559455	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_61	IDS	285.91708	235.292869	378.217074	46.435872	142.924205	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_62	IDS	286.46595	235.875895	313.420721	21.7175904	77.5448264	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_63	IDS	247.679756	198.201248	300.128582	21.9810981	101.927333	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_65	IDS	237.124363	197.482365	251.663044	9.66517364	54.1806786	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_67	IDS	303.838391	223.06515	411.867081	40.1027469	188.801931	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_7	IDS	226.460566	120.267676	281.855707	41.4199898	161.588031	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_71	IDS	286.993595	179.112554	397.531832	46.045115	218.419278	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
M-103-010723_pass1_736_73	IDS	233.179451	117.728359	323.888964	49.9416236	206.160605	0	0	1	0	0	0	0	0	0	20	female	emily	M-103	male									
W-340_pass1_183_11	ADS	222.596541	158.346424	321.354929	51.1972236	163.008505	0	0	0	1	0	0	0	0	0	3	female	emily	W-340	female									
W-340_pass1_183_12	ADS	250.846971	191.525798	574.773566	99.2793292	383.247767	0	0	0	1	0	0	1	0	0	3	male	emily	W-340	female									
W-340_pass1_183_13	ADS	206.211155	141.501655	328.033142	59.5107975	186.531487	0	0	0	1	0	0	1	0	0	3	female	emily	W-340	female									
W-340_pass1_183_15	ADS	296.804022	147.441022	438.481012	90.9039028	291.03999	0	0	0	0	0	0	1	0	0	3	female	emily	W-340	female									
W-340_pass1_183_26	IDS	173.596915	125.022214	266.945073	30.7872642	141.922859	0	0	0	1	0	0	1	0	0	3	male	emily	W-340	female									
W-340_pass1_183_29	IDS	249.74053	146.704998	301.823843	39.2182517	155.118845	0	0	0	0	0	1	0	0	0	3	female	emily	W-340	female									
W-340_pass1_183_30	IDS	262.685525	178.297963	349.465111	47.1229637	171.167148	0	0	0	1	0	1	0	0	0	3	female	emily	W-340	female									
W-340_pass1_183_34	IDS	268.411285	155.000765	371.587379	47.9012991	216.586613	0	0	0	0	0	1	0	0	0	3	female	emily	W-340	female									
W-340_pass1_183_42	IDS	237.316435	128.585564	402.617464	85.4670514	274.031899	0	0	0	1	0	0	0	0	0	3	male	emily	W-340	female									
W-340_pass1_183_47	IDS	298.205372	238.483624	365.542774	31.7343122	127.05915	1	0	0	0	0	1	1	0	0	3	female	emily	W-340	female									
W-340_pass1_183_48	IDS	237.712207	179.227811	278.463107	21.1543196	99.2352963	1	0	0	0	0	1	0	0	1	3	female	emily	W-340	female									
W-340_pass1_183_51	ADS	238.456899	116.627196	414.681186	51.5898727	298.05399	0	0	0	1	0	0	0	0	0	3	female	emily	W-340	female									
W-340_pass1_183_55	IDS	269.973816	177.764109	342.771812	51.5795947	165.007703	1	0	0	0	0	1	1	0	0	3	female	emily	W-340	female									
W-340_pass1_183_9	ADS	179.525022	125.855338	291.639302	29.9790717	165.783964	0	0	0	0	0	0	1	0	0	3	female	emily	W-340	female									
B-08_11_pass1_1298_14	IDS	191.638108	75.7486343	345.680166	58.0898718	269.931532	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_17	IDS	181.597281	139.02049	240.050154	26.0013094	101.029664	0	0	1	0	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_19	ADS	237.211351	170.245402	410.776568	54.9495496	240.531166	0	0	0	1	0	0	1	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_20	ADS	216.573685	165.263545	360.181946	40.3742801	194.918401	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_21	ADS	188.229799	145.664186	317.01774	28.73147	171.353553	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_23	ADS	262.413283	151.089968	400.222225	72.1344556	249.132257	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_27	ADS	257.214841	139.907421	366.031441	43.3109582	226.12402	0	0	0	0	0	1	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_31	IDS	216.978742	167.12707	288.815107	25.8834302	121.688037	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_37	ADS	226.262973	141.407374	349.337842	46.662555	207.930469	0	0	0	1	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_4	IDS	192.88016	159.464531	303.275834	25.4710865	143.811303	0	0	0	0	0	0	1	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_6	IDS	168.018425	110.755692	254.445043	35.5586243	143.689351	0	0	1	0	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_8	IDS	196.47067	108.225282	340.748846	52.2650469	232.523564	1	0	1	0	0	0	0	0	0	11	female	emily	B-08	female									
B-08_11_pass1_1298_9	IDS	200.170761	117.791671	454.616008	50.5557641	336.824337	0	0	1	0	0	0	0	0	0	11	female	emily	B-08	female									
B-12_13_pass1_207_1	IDS	260.651112	196.100842	340.135861	45.0503556	144.035019	0	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_10	IDS	279.815689	203.116822	338.159379	34.8900647	135.042557	1	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_13	IDS	260.165486	219.237323	325.544861	22.9116049	106.307538	0	0	0	1	0	1	0	0	0	13	female	emily	B-12	male									
B-12_13_pass1_207_15	IDS	252.655499	141.919424	341.614583	46.9717879	199.695159	0	0	0	0	0	1	0	0	0	13	female	emily	B-12	male									
